complaint_text,category,priority
the printer in the library has been broken for 5 days please look into this,Library,Medium
a classmate records me during lectures without my knowledge or permission please look into this,Harassment,Medium
the hostel common room has no working fans during summer no one has responded yet,Hostel,Medium
there are no vegetarian options available at the cafeteria this needs to be fixed,Cafeteria / Food,Medium
a student in my hostel is threatening me and the warden is not helping this needs to be fixed,Hostel,High
there has been no electricity in my hostel block for 2 days please help,Hostel,High
it would be helpful if the canteen showed the daily menu online please look into this,Cafeteria / Food,Low
a complaint or feedback option for transport would be useful please help,Transport,Low
i got locked out of my account and the reset email is not coming kindly resolve this,IT / Portal,High
a student collapsed in the hostel and there was no first aid available i need help with this,Hostel,High
hi the payment portal is showing my fees as unpaid even though i paid yesterday,IT / Portal,High
a student was attacked in the hostel corridor and security did nothing this needs to be fixed,Hostel,High
the deadline for document submission was not announced and i missed it i need help with this,Administration,Medium
the mid term results were never announced and exams are next week i need help with this,Academics / Faculty,Medium
someone is spreading false rumors about me in the department i need help with this,Harassment,Medium
urgent a teacher made inappropriate comments about my appearance in front of the class,Harassment,High
there should be more interaction in class instead of only lecture delivery kindly resolve this,Academics / Faculty,Low
the portal shows wrong grades for two of my subjects i need help with this,IT / Portal,Medium
there are not enough buses for students with late evening classes this needs to be fixed,Transport,Medium
the online journal access expired and we cant read research papers kindly resolve this,Library,Medium
office hour timings are not posted anywhere in the department it has been ignored for too long,Academics / Faculty,Low
hi the bus timings should be adjusted to match the late class schedules,Transport,Low
hi there should be a reminder system for book return deadlines,Library,Low
admin office is only open for 2 hours a day which is very inconvenient no one has responded yet,Administration,Medium
a digital display near the library entrance showing available books would help this needs to be fixed,Library,Low
attendance on the portal doesnt match what the teacher marked,IT / Portal,Medium
it would be helpful if we could track the status of submitted requests online kindly resolve this,Administration,Low
it would be helpful if the canteen showed the daily menu online,Cafeteria / Food,Low
hi the kitchen staff are not wearing gloves and touching food with bare hands,Cafeteria / Food,High
the payment portal is showing my fees as unpaid even though i paid yesterday no one has responded yet,IT / Portal,High
the mid term results were never announced and exams are next week it has been ignored for too long,Academics / Faculty,Medium
there should be a suggestion box at the cafeteria for feedback it has been ignored for too long,Cafeteria / Food,Low
my final result shows fail but i passed all my assessments it has been ignored for too long,Academics / Faculty,High
prices went up suddenly with no notice and no explanation please look into this,Cafeteria / Food,Medium
i need a bonafide letter urgently but the office says it will take 2 weeks kindly resolve this,Administration,Medium
i want to know what the university policy is if someone harasses a student please look into this,Harassment,Low
hi bus timings during exams were changed and students missed the paper,Transport,Medium
a student in my hostel is threatening me and the warden is not helping,Hostel,High
my visa documents were lost by the admin office and i may face deportation i need help with this,Administration,High
i was beaten by three students near the hostel and security did nothing please look into this,Harassment,High
i submitted my assignment but the portal shows it as missing no one has responded yet,IT / Portal,Medium
more charging points are needed in the library,Library,Low
hi i was beaten by three students near the hostel and security did nothing,Harassment,High
teacher hasnt returned our assignments for over a week please look into this,Academics / Faculty,Medium
the driver drives through red signals and students are scared to speak up no one has responded yet,Transport,High
found broken plastic in my rice from the main canteen,Cafeteria / Food,High
urgent a teacher shared the exam paper with some students before the test,Academics / Faculty,High
the food portions have gotten smaller but the prices are the same this needs to be fixed,Cafeteria / Food,Medium
the exam portal crashed during my online test and my answers were lost this needs to be fixed,IT / Portal,High
hi ac in the university bus has not worked for a week,Transport,Medium
the bus driver was on his phone the entire journey i need help with this,Transport,High
there should be a mobile app for the student portal please look into this,IT / Portal,Low
there should be a dedicated quiet study area in the hostel i need help with this,Hostel,Low
hi the font on the portal is too small and hard to read,IT / Portal,Low
cafeteria runs out of food by 1pm and many students are left with nothing please look into this,Cafeteria / Food,Medium
a complaint or feedback option for transport would be useful,Transport,Low
the admin office staff should be trained to be more helpful to students,Administration,Low
the bus should have a designated seat for students with disabilities please help,Transport,Low
there should be a clear list of required documents displayed at the office this needs to be fixed,Administration,Low
a teacher always singles me out and humiliates me in class no one has responded yet,Harassment,Medium
the hostel rules should be clearly posted somewhere visible it has been ignored for too long,Hostel,Low
it would be helpful if lectures were recorded for revision,Academics / Faculty,Low
the bus route was changed and we were not informed i need help with this,Transport,Medium
i keep being told to come back tomorrow every time i visit the office kindly resolve this,Administration,Medium
hi a digital display near the library entrance showing available books would help,Library,Low
not enough seats in the library during exam season no one has responded yet,Library,Medium
the cafeteria needs better lighting it is too dim inside,Cafeteria / Food,Low
hi the driver drives through red signals and students are scared to speak up,Transport,High
i cant upload my assignment the file size limit is too low please look into this,IT / Portal,Medium
it would help to have the cleaning schedule posted in the hostel kindly resolve this,Hostel,Low
the hostel common room needs better furniture please help,Hostel,Low
a senior student keeps pressuring me to do things i am not comfortable with no one has responded yet,Harassment,Medium
the hostel canteen closes too early and night students go hungry it has been ignored for too long,Hostel,Medium
hi i was suspended wrongly and the admin office is not responding to my emails,Administration,High
the food in the cafeteria smells rotten and students are still being served it it has been ignored for too long,Cafeteria / Food,High
someone sent me threatening messages saying they will hurt me if i report them no one has responded yet,Harassment,High
the bus route was changed and we were not informed kindly resolve this,Transport,Medium
the food being served is clearly expired the packaging dates were scratched off please help,Cafeteria / Food,High
my roommate in the hostel is constantly harassing me and the warden ignores it please look into this,Harassment,Medium
the library emergency exit is locked from the outside which is dangerous,Library,High
my account got hacked and someone changed my password i cant login i need help with this,IT / Portal,High
there are no vegetarian options available at the cafeteria i need help with this,Cafeteria / Food,Medium
the hostel guest sign in process takes too long it has been ignored for too long,Hostel,Low
the bus was so overcrowded a student fell and got injured no one has responded yet,Transport,High
the displayed bus schedule is outdated and confusing no one has responded yet,Transport,Low
the hostel rules should be clearly posted somewhere visible no one has responded yet,Hostel,Low
urgent a student was assaulted near the library entrance and security was absent,Library,High
there should be an anonymous way to report harassment on campus it has been ignored for too long,Harassment,Low
a female student was touched inappropriately by a staff member in the corridor it has been ignored for too long,Harassment,High
bus arrives 40 minutes late every single day please help,Transport,Medium
the bus has no working seatbelts and students are at risk i need help with this,Transport,High
the bus timings should be adjusted to match the late class schedules this needs to be fixed,Transport,Low
i cant update my phone number on the portal profile i need help with this,IT / Portal,Low
a senior student has been threatening me and i am scared to come to campus i need help with this,Harassment,High
not enough seats in the library during exam season i need help with this,Library,Medium
the book i need is always marked as available but i can never find it,Library,Medium
lecture slides are uploaded after the class not before which is not helpful kindly resolve this,Academics / Faculty,Medium
the notice board at the admin block is never updated i need help with this,Administration,Low
the driver was clearly not well and was driving in a dangerous manner please help,Transport,High
